Description,Classificació,Classificació_01,Classificació_02
El Villarreal ha reunit virtualment dos groguets il·lustres el jugador del primer equip Santi Cazorla i el tenista Roberto Bautista En una xarrada distesa els dos esportistes han compartit les rutines dentrenament durant estes setmanes de confinament i les sensacions davant de la represa de la Lliga de Futbol LA CONVERSA ENTRE CAZORLA I BAUTISTA,ESPORTS,ESPORTS,
Un apunt de tribunals la Guàrdia Civil ha detingut en una urbanització de la Marina Alta un exdiputat rus que tenia una orde internacional de detenció Els agents lhan sorprés en ple carrer quan accedia amb el seu vehicle a la urbanització on samagava La Interpol buscava lexdiputat per un delicte de malversació de fons públics Està acusat dapropiar se de diners dun concurs públic que no es va executar Lexdiputat també va ser viceprimer ministre duna regió russa DETINGUT UN EXDIPUTAT RUS A LA MARINA ALTA,JUSTÍCIA I ORDRE  PÚBLIC,JUSTÍCIA I ORDRE  PÚBLIC,
Casserolada a Argentina contra lalliberament de presos en risc de contraure el conavirus Consideren un perill que hi haja delinqüents en llibertat La mesura lha pres el govern després dels motins en què els reclusos demanaven passar a arrest domiciliari per a evitar el contagi en les massificades presons argentines A través de les xarxes socials i amb limpuls de loposició i una part de loficialisme la casserolada expressa el rebuig a esta eixida temporal que ha beneficiat reclusos CASSerOLADA A LARGENTINA PER LEIXIDA DE PRESOS,MEDICINA I SANITAT,MEDICINA I SANITAT,
Diumenge a les en partits de llegenda recuperarem el definitiu entre el València Basket i el Novo Mesto de la final de la Copa Uleb de Va ser el primer títol europeu dun equip amb grans estreles entrenat per Paco Olmos Hem parlat daquell partit amb lentrenador valencià que ara entrena a Puerto Rico i Mèxic,ESPORTS,ESPORTS,
I Àustria ha abandonat hui el confinament complet Els seus ciutadans ja poden reunir se amb familiars i amics en grups de fins a persones Però es mantindrà la distància social i serà obligatori portar mascareta als comerços i el transport públic La represa de tota lactivitat comercial també ha començat encara que els restaurants i els hotels podran reobrir a partir de mitjan maig La mateixa data en què se reobriran de forma gradual els col legis La república centreeuropea entra així en la segona fase de la lluita contra el coronavirus,MEDICINA I SANITAT | SOCIETAT,MEDICINA I SANITAT,SOCIETAT
Primer de maig inèdit també a Grècia lúnic país europeu on sha celebrat la manifestació del Dia del Treball La plaça Sintagma ha sigut ocupada pels sindicats que tot i la prohibició pel coronavirus han celebrat la concentració mantenint el distanciament social i protegint se amb mascaretes i guants També a Corea del Sud sha fet la marxa per a celebrar lU de Maig amb totes les mesures de prevenció per a reclamar millors condicions laborals davant de la pandèmia,POLÍTICA | MEDICINA I SANITAT,POLÍTICA,MEDICINA I SANITAT
Una major recaptació en impostos reforçar la sanitat pública i revertir els serveis privatitzats són les principals reivindicacions dels parlaments del Dia del Treball Els discursos dels líders valencians shan emés este migdia per internet,POLÍTICA,POLÍTICA,
El nivell de desocupació que hi havia abans de la crisi del coronavirus no es recuperarà fins al Eixa és almenys la previsió que fan diversos economistes Des que va esclatar esta crisi i lestat dalarma latur no ha fet més que augmentar persones actives menys,"ECONOMIA, COMERÇ I FINANCES","ECONOMIA, COMERÇ I FINANCES",
Més reaccions El president del Partit Popular ha qualificat les estimacions econòmiques fetes públiques hui de catastròfiques i ha criticat lactuació i la resposta del govern espanyol davant de la crisi,POLÍTICA,POLÍTICA,
Donald Trump tensa les relacions amb la Xina a la qual considera responsable de limpacte de lepidèmia de coronavirus i ara amenaça de reobrir la guerra daranzels I això que els serveis secrets nord ameirnas han confirmat que el virus no ha sigut creat en cap laboratori,MEDICINA I SANITAT,MEDICINA I SANITAT,
Haurem desperar a demà per a fer esport a laire lliure i per això la run càncer de València sha fet este matí des de casa Durant prop duna hora shan pogut seguir per les xarxes de lAssociació contra el càncer diverses activitats per a tota la família Sha convertit en una entretinguda sessió amb exercicis de calfament zumba activitats per a xiquets i ioga Els més de participants han col·laborat amb un donatiu En total han recaptat prop de euros que se sumaran a les ajudes per als pacients de càncer que estan en vulnerabilitat social per la crisi de la Covid RUN CÀNCER VIRTUAL AMB ACTIVITATS A CASA,ESPORTS,ESPORTS,
Hui estrenem un altre mes el de maig i ho fem amb dia festiu i pont que atesa la situació ja no és sinònim de viatjar Però els hotels es preparen per a quan es puga fer Ja saben que les zones comunes no podran obrir i que el restaurant tampoc I encara no se sap si podran obrir totes les habitacions o només una part Una situació que els hotelers critiquen perqué diuen que sense clients no es pot mantindre un hotel,TURISME,TURISME,
Parlem ara duna situació particular que viuen algunes famílies Què passa quan un progenitor sinfecta de Covid i no pot atendre els fills La Conselleria dIgualtat i Polítiques Inclusives ha posat en marxa un protocol per a tutelar els menors mentre el pare o la mare es recuperen,MEDICINA I SANITAT | SOCIETAT,MEDICINA I SANITAT,SOCIETAT
Aplaudiments en el tancament de lhospital més gran dEspanya A Madrid Ifema tanca les portes com a centre datenció de malalts del coronavirus professionals han atés a contagiats en els llits que shi instal·laren Ifema sha convertit en tot un símbol de la lluita contra la pandèmia al nostre país Construït en temps rècord va ajudar a rebre lallau de malalts de Madrid en els moments més crítics A partir dara un dels seus pabellons continuara operatiu per a guardar material sanitari en previssió de nous rebrots tancament emotiu de lhospital dIfema,MEDICINA I SANITAT,MEDICINA I SANITAT,
El Ministeri de Treball negocia amb els agent socials de moment sense acord estendre les condicions dels ERTO per força major Es busca ampliar lexoneració de cotitzacions en els expedients temporals Lexecutiu vol fer ho de manera gradual entre els mesos de juny i agost El percentatge ha de negociar lo amb la patronal i els sindicats Ara lexoneració de cotitzacions és del per a les empreses de menys de treballadors i del per a una plantilla superior NEGOCIEN AMPLIAR ELS avantatges dels ERTO,TREBALL,TREBALL,
El rei emèrit Joan Carles I dugué a Ginebra el quan encara era cap de lEstat espanyol un maletí amb milions deuros per a entragar lil al seu gestor suís Arturo Fasana segons desvela hui el diari El País Els diners seguint la informació del rotatiu procedien duna entrega que havia realitzat el sultán de Bahrain al rei espanyol Així ho va declarar Fasana a loctubre de davant el fiscal de Ginebra Yves Bertossa qui dirigix la investigació sobre els fons de dubtosa procedència de Joan Carles I a Suïssa El fiscal Bertossa manté imputats en el cas Corinna Larsen el gestor Fasana i ladvocat Dante Canónica per un delicte agreujat de blanqueig de capitals El rei emèrit portà a Suïssa milions deuros,JUSTÍCIA I ORDRE  PÚBLIC,JUSTÍCIA I ORDRE  PÚBLIC,
LA MEITAT DELS HABITANTS DE LA COMUNITAT VALENCIANA CONFIEN EN À PUNT Així ho revelen les dades daudiència dabril que shan conegut hui i que destaquen que més de persones han elegit els informatius i programes d’À Punt al llarg del mes À Punt finalitza abril amb una quota del i una audiència mitjana diària de espectadors Els continguts preferits han sigut novament els programes informatius que encapçalen el rànquing amb una mitjana de espectadors diaris L’esforç i la dedicació dels equips humans i tècnics dels serveis informatius dÀ Punt té recompensa shan oferit més de hores de programació informativa El minut més vist del mes es va donar el passat dimarts al Notícies Migdia amb espectadors i un de quota a les hores Lentreteniment és laltre gènere televisiu preferit El programa no informatiu més vist és Celebrity School amb una quota del i espectadors No tenim trellat i Trau la llengua aconseguixen i espectadors respectivament PERSONES HAN VIST à PUNT A LABRIL,MITJANS DE COMUNICACIÓ,MITJANS DE COMUNICACIÓ,
Demà serà el gran dia per als amants de lesport El primer que es podrà passejar i practicar esport a laire lliure des de linici del confinament Les anomenades rutes del colesterol en molts pobles valencians sompliran de gent passejant i fent esport però shaurà de fer en franges horàries delimitades i guardant una distància de seguretat i sense eixir del terme municipal En alguns casos les rutes són compartides així és que els ajuntaments hauran de delimitar els recorreguts DEMÀ TORNA LESPORT A LAIRE LLIURE,SOCIETAT,SOCIETAT,
Només a la ciutat de València es calcula que hi ha persones majors que patixen soledat Ara amb la Covid eixa situació sagreuja LONG Jovesólides i lAjuntament de València han posat en marxa una iniciativa per a acompanyar els majors per telèfon i ensenyar los a utilitzar les tecnologies per a comunicar se amb la família,SOCIETAT,SOCIETAT,
El BOE publica hui la lletra menuda de les condicions per a fer activitats físiques al carrer que es permetran a partir de demà dissabte Algunes de les concrecions que establix és que les persones adultes podran passejar durant més duna hora però dins de les franges horàries marcades per a les poblacions de més de mil habitants i que no es podrà agafar el cotxe o el transport públic per a desplaçar se a altres llocs per a fer esport individual Demà dissabte comencen a ampliar se les mesures dalleujament del confinament que es van iniciar diumenge passat amb leixida dels menors al carrer El Butlletí Oficial de lEstat publica hui lorde que en concreta els detalls TALL quins són els horaris i qui pot eixir en cada franja Les persones adultes entre i anys podran eixir a fer esport individual o passejar de a del matí i de a de la nit Les que tinguen més de anys o siguen dependents ho faran de a del matí i de a de la vesprada Pel que fa al passeig amb menors shaurà de fer entre les i les de la vesprada Estan exemptes de les distribucions per franges horàries les poblacions de menys de cinc mil habitants TALL puc passejar amb la meua parella i els meus fills No perquè per a les famílies es manté la directriu dels tres uns un adult un quilòmetre una hora En canvi sí que podran eixir a passejar amb la parella les persones de més de anys incloses les de més de i les dependents en les franges horàries corresponents i a una distància màxima dun quilòmetre des de sa casa Ho hauran de fer sempre mantenint una separació de seguretat dalmenys dos metres respecte daltres persones TALL hi ha una distància límit per a fer esport Lorde diu que els passejos sí que estan limitats a un quilòmetre però en les activitats esportives no es marca una distància màxima sempre,MEDICINA I SANITAT,MEDICINA I SANITAT,
La Generalitat estudia com organitzar la desescalada per departaments de salut a la Comunitat Valenciana i no per províncies com havia proposat el Govern dEspanya La Consellera de Sanitat Ana Barceló recorda que la Covid continua activa i apel·la a la responsabilitat ciutadana perquè els contagis continuen la tendència a la baixa i la desescalada pugar tirar avant sense fer passos arrere,MEDICINA I SANITAT,MEDICINA I SANITAT,
El dabril Alberto Fabra hauria complit anys En política des de va ser alcalde de Castelló càrrec que va abandonar per a ocupar la presidència de la Generalitat en després de la dimissió de Francisco Camps Com a cap del Consell ha passat a la història per decidir el tancament de la radiotelevisió pública valenciana En el moment de la seua mort era senador per designació territorial,POLÍTICA,POLÍTICA,
La Guàrdia Civil ha detingut persones acusades destafar a través dInternet amb lengany de les conegudes com a cartes nigerianes València era la seu de lorganització criminal internacional que il·lusionava les víctimes prometent una fortuna provinent duna herència per la qual havien de fer uns pagaments previs En escorcolls la Guàrdia Civil ha trobat més dun milió de dòlars falsos a més de mil euros en efectiu i mil més en comptes bancaris Detinguts presumptes estafadors que utilitzaven les cartes nigerianes,JUSTÍCIA I ORDRE  PÚBLIC,JUSTÍCIA I ORDRE  PÚBLIC,
A bona part dels Estats Units sha acabat el confinament i hui han reobert molts comerços i negocis Açò ha coincidit amb un agument important dels contagis més de MIL diaris El país ocupa el numero ú en el rànquing de víctimes de la pandèmia amb MIL morts Actors i famosos s han unit a la lluita contra el coronavirus i han fet importants donacions,MEDICINA I SANITAT,MEDICINA I SANITAT,
Després de setmanes despeculacions el líder de Corea del Nord finalment ha reaparegut Kim Jong un ha assistit a una cerimònia oficial en una fàbrica de fertilitzants prop de la capital Pyongyang La seua desaparició de lagenda pública havia fet pensar que el seu estat de salut shavia agreujat Hui ha aparegut sense explicació oficial i alguns mitjans orientals asseguren que Kim Jong un no eixia perquè volia protegir se del coronavirus KIM JONG UN REAPAREIX DESPRÉS DE DIES ABSENT,POLÍTICA,POLÍTICA,
Coordinats per l’Agència Valenciana de Seguretat i Resposta més de voluntaris de Creu Roja i Protecció Civil treballen al costat de les forces i cossos de seguretat de l’estat per a informar a la ciutadania de com fer l’exida gradual del desconfinament A Alzira voluntaris de la Creu Roja shan dedicat al llarg del matí esta tasca informativa,SOCIETAT,SOCIETAT,
I a la Comunitat Valenciana els ingressos hospitalaris per la Covid shan reduït un per cent en les últimes dos setmanes fins a arribar als ingressats En les xifres que ha donat a conéixer hui la Conselleria de Sanitat Universal i Salut Pública destaca també la reducció a la meitat dels ingressats a les UCI els últims quinze dies on actualment hi ha persones Des del començament de lepidèmia shan registrat un total de MIL casos dels quals MIL han rebut lalta La xifra de persones contagiades ha pujat hui en un repunt que duplica la dada dahir En les últimes hores han mort persones quatre més que ahir A hores dara la Comunitat Valenciana es manté entre les comunitats autònomes amb menys morts i diagnosticats per cada centMIL habitants,MEDICINA I SANITAT,MEDICINA I SANITAT,
Estar lluny de les aules durant el confinament no ha acabat amb el patiment de xiquets i xiquetes víctimes dassetjament Hui se celebra el Dia Mundial contra lAssetjament Escolar i les veus expertes demanen una major inversió per a la prevenció del que consideren la nova xacra del segle,ENSENYAMENT | JUSTÍCIA I ORDRE  PÚBLIC,ENSENYAMENT,JUSTÍCIA I ORDRE  PÚBLIC
Les persones majors de anys han pogut passejar una hora en la franja entre les i les No veien el moment de fer ho i amb precaució han aprofitat per a comprar fer una volta pel camp o prop de la mar i alguns per a vore els nets ni que fora a distància Els que no shagen decidit este matí poden aprofitar esta vesprada de set a huit,SOCIETAT,SOCIETAT,
Per cert que la delegació del govern a Madrid investigarà estes imatges dahir les aglomeracions de gent en lacte de clausura de lhospital dIfema presidit per la popular Isabel Díaz Ayuso La presidenta de la Comunitat de Madrid al·lega que la felicitat els va desbordar El delegat del govern ja ha advertit que les normes estan fetes per a tots SINVESTIGA LA CLAUSURA DE LHOSPITAL DIFEMA,POLÍTICA | MEDICINA I SANITAT,POLÍTICA,MEDICINA I SANITAT
Després de les aglomeracions que es produïen ahir en el tancament de lhospital de campanya dIFEMA el govern madrileny ha decidit celebrar el Dia de la Comunitat així Respectant les distàncies de seguretat sanitaris bombers i membres de la societat civil han sigut els protagonistes de lacte celebrat este migdia a La Puerta del Sol El govern de la comunitat els ha retut homenatge per la seua lluita en la crisi del coronavirus HOMENATGE ALS HEROIS DEL CORONAVIRUS A MADRID,POLÍTICA,POLÍTICA,
Pel que fa a la xifra de víctimes mortals a tot lEstat tercer dia consecutiu que es manté per sota de les De fet ha experimentat una lleu baixada fins a les Lluny dels més de MIL nous positius de diumenge passat hui han sigut poc més dun miler Això fa que el total supere les MIL També pugen les altes que shan duplicat en només una setmana Unes dades molt favorables per a la desescalada,MEDICINA I SANITAT,MEDICINA I SANITAT,
La natura ens està regalant imatges insòlites durant lestat dalarma La tranquil·litat de la mar fa que els dofins sacosten a les costes valencianes Sha pogut vore este espectacle aquàtic al Port de Sagunt Unes imatges que sestan viralitzant en les xarxes socials Però no és lúnic punt on shan fet els amos de la costa de fet cada vegada és més habitual contemplar vídeos de veïns que els graven fins i tot des dels balcons A Dénia shan albirat centenars de dofins mulars durant lúltim més ELS DOFINS ES MOSTREN SENSE POR AL PORT DE SAGUNT,MEDI AMBIENT,MEDI AMBIENT,
Primer cap de setmana amb mercats itinerants al carrer Una mesura dalleujament que demanaven consumidors i llauradors Hui hem estat en lobertura del mercat a laire lliure de Torrent,"ECONOMIA, COMERÇ I FINANCES","ECONOMIA, COMERÇ I FINANCES",
Fa dies que no ixen de casa Les persones majors de anys han pogut xafar el carrer en esta nova etapa del desconfinament Entre les i les este col·lectiu el més vulnerable davant la COVID ha sigut lamo en parcs carrers i jardins Els majors i depenents han tornat a fer passejos en parella durant una hora i a menys dun quilòmetre de casa,SOCIETAT,SOCIETAT,
El procés de recuperació de leconomia després de la crisi el coronavirus necessitarà lajuda de la Unió Europea El dimecres es torna a reunir el Consell Europeu Espanya ha proposat un fons de bilions Però Holanda i Suècia continuen mostrant reticències a lajuda directa al sud,"ECONOMIA, COMERÇ I FINANCES","ECONOMIA, COMERÇ I FINANCES",
Dos milions quatre cents mil valencianes i valencians han triat À Punt per a informar se i entretindres durant el mes dabril Els informatius han sigut els programes amb més audiència Pel que fa als espais dentreteniment sobserven diferències entre els diferents territoris de la Comunitat Valenciana,MITJANS DE COMUNICACIÓ,MITJANS DE COMUNICACIÓ,
TALL VEÍ ALACANT HOY VAMOS SIN LÍMITE HOY VAMOS A HACER COMO FORREST GUMP CORRER DE LA COSTA A COSTA SI SE PUEDE TALL ALEJANDRA DELGADO VEÏNA DALACANT YO ESTAVA QUE ME SUBIA POR LAS PAREDES PÒRQUE NO TENÍA CINTA DE CORRER I A VECES HICE EL TONTO Y CORRÍA POR CASA Com va passar la setmana passada amb leixida al carrer dels xiquets hi havia preocupació perquè es compliren les normes de distanciament TALL JOSÉ TOMÁS VEÍ DALACANT PUES MUCHA GENTE PARECE QUE SEA ESTO UN AVISPERO HAN SALIDO TODOS DE GOLPE TALL YOLANDA VEÏNA DE VALÈNCIA AUNQUE SALGO A TRABAJAR TODOS LOS DIAS PORQUE TRABAJO EN UN HOSPITALESTO NO ES LO MISMO EL CONTACTO CON LA NATURALEZA Y CON LA GENTEDEMASIADO AMBIENTE Les imatges gravades amb teleobjectiu poden deixar la impressió dincompliments Però des dun altre punt de vista saprecia que de manera general els esportistes han complit la normativa A lhora del canvi de torn ja no hi havien esportistes al carrer TALL JOSÉ LUIS VEÍ DE VALÈNCIA HA IDO TODO CORRECTO NO CREO QUE SE HAYA EXTENDIDO EL VIRUS POR ESTO Caminarcórrer anar amb bici amb patinsi inclús navegar Tot ha començat hui de nou després de massa temps dinactivitat TALL NUR VEÏNA DE VALÈNCIA PRIMER DIA TENIES GANES NO SÍ PERÒ MHE CANSAT MOLT RÀPID TALL MERCHE PEREA VEÏNA DALACANT SUPONGO QUE MAÑANA NO ME PODRÉ MOVER Potser la falta de costum de fer esport ha estat al darrere dalmenys caigudes de ciclistes que han necessitat la presència dambulàncies,SOCIETAT | ESPORTS,SOCIETAT,ESPORTS
El sector de la pirotècnia llança un missatge dauxili Les Falles i la Magdalena van encetar la llista però el degoteig de festes tradicionals que shan ajornat pel coronavirus no ha parat La pirotècnia present en totes elles sha quedat amb la feina dels últims mesos sense cremar Amb tot el material contractat i preparat els municipis no es fan càrrec de castells o mascletades I amb la inversió en material ja feta han deixat dingressar el del que tenien previst en lepoca de lany que més oxigen els dona No hi ha cap ajuda pensada per a este sector i asseguren que se senten maltractats LA PIROTÈCNIA LLANÇA UN CRIT DAJUDA,FESTES I TRADICIONS,FESTES I TRADICIONS,
Imatges aèries de la platja del Puig a lHorta Nord La Policia Local ha posat en marxa un operatiu especial de vigilància e el primer cap de setmana de passejos i activitat física per al conjunt de la població La responsabiliat del veïnat ha sigut la protagonista i no sha tramitat cap denúncia Queden això sí estes imatges inusuals del paisatge litoral VIGILÀNCIA POLICIAL A LA PLATJA DEL PUIG,JUSTÍCIA I ORDRE  PÚBLIC | MEDICINA I SANITAT,JUSTÍCIA I ORDRE  PÚBLIC,MEDICINA I SANITAT
Els xicotets negocis es preparen també per a la tornada a la activitat demà Serà sempre amb cita prèvia i amb un màxim dun client per treballador Entre les mesures que estan aplicant es troba lús de pantalles protectores la desinfecció diària del local o la disposició de gel hidroalcohòlic També es facilitaran bosses per a provar se el calcer i després de cada ús es desinfectaran les sales De moment ja han donat cites per al dilluns TALL A pocs metres Susa i Pilar també adapten la seua merceria TALL SUSA BLA A més per a les persones majors de anys hi haurà un horari específic TALL Des de lAssociació de Comerç de Burjassot i Confecomerç sels ha facilitat tota la informació perquè reprenguen lactivitat amb totes les garanties,"ECONOMIA, COMERÇ I FINANCES","ECONOMIA, COMERÇ I FINANCES",
El xicotet comerç ha rebut un colp molt fort amb el tancament de les botigues i ara tem que no els done temps per a vendre a preus de temporada abans de les rebaixes Per això sestà mobilitzant per a canviar la legislació al respecte No són els únics,"ECONOMIA, COMERÇ I FINANCES","ECONOMIA, COMERÇ I FINANCES",
A esta hora està en marxa la huitena conferència telemàtica de presidents autonòmics Sobre la taula la nova sol·licitud de pròrroga de lestat dalarma que ha demanat el president del govern espanyol i que compta amb retiències entre alguns líders autonòmics Pedro Sánchez va anunciar ahir també que amb el començament demà de la fase zero de la desescalada els usuaris del transport públic hauran de dur obligatòriament mascaretes Novetats també per a la fase la següent quan podrem reunir nos en grups de fins a persones en domicilis o espais oberts Segons Sánchez el manteniment de lestat dalarma és essencial per a poder combatre el virus OCTAVA CONFERÈNCIA DE PRESIDENTS,POLÍTICA,POLÍTICA,
La factoria Ford Almussafes torna al treball demà després de dies de paralització Ho farà de manera escalonada amb laplicació dun nou ERTO que estarà vigent fins a finals de juliol Lempresa justifica este nou expedient en la caiguda de les matriculacions i la disminució de la producció,INDÚSTRIA | TREBALL,INDÚSTRIA,TREBALL
Desta manera han felicitat les mares els alumnes del conservatori professional de música de València Es tracta dun treball realitzat per lalumnat de lassignatura de conjunt de corda densenyaments elementals que han volgut preparar esta felicitació durant el confinament amb lajuda del professorat LALUMNAT DEL CONSERVATORI PROFESSIONAL DE VALÈNCIA FELICITA LES MARES,MÚSICA | SOCIETAT,MÚSICA,SOCIETAT
LlAjuntament dAlacant autoritzarà totes les sol licituts de bars i restaurants de la ciutat que vulguen servir a domicili o que opten perquè la clientela arreplegue el menjar Es tracta duna mesura durgència per a ajudar un sector que comença la desescalda demà,"ECONOMIA, COMERÇ I FINANCES","ECONOMIA, COMERÇ I FINANCES",
El sector de lhostaleria ha rebut amb escepticisme laugment de laforament màxim de les terrasses del al per cent Asseguren que eixe augment no és suficient perquè els negocis siguen rendibles,"ECONOMIA, COMERÇ I FINANCES","ECONOMIA, COMERÇ I FINANCES",
Una aplicació molt estricta de les fases de la desescalada del confinament podria deixar en una situació delicada el Racó dAdemús Esta comarca de linterior valencià fita amb Conca i Terol Els seus MIL habitants han de passar obligatòriament per altres comunitats per a anar a lhospital o aconseguir productes que no troben als seus pobles,POLÍTICA | MEDICINA I SANITAT,POLÍTICA,MEDICINA I SANITAT
Per segon dia consecutiu milers de persones han aprofitat la jornada per a fer esport al centre de les ciutats En este cas són els jardins del Túria a València Córrer i anar amb bici han sigut les activitats preferides per a disfrutar de laire lliure També els més majors han eixit a passejar en les seues franges horàries tan matinals com vespertines El panorama canvia a partir de demà quan ja es podrà acudir a alguns negocis amb cita prèvia SEGON DIA DE DESCONFINAMENT PER HORARIS,SOCIETAT,SOCIETAT,
I des dÀ Punt li retem un homenatge a totes les mares amb les fotos que ens han fet arribar per celebrar el dia El vídeo complet es pot vore i compartir des de les nostres xarxes,SOCIETAT,SOCIETAT,
En estat dalarma i amb els fills hores a casa hi han hagut de fer malabarismes amb les tasques del dia a dia teletreball deures reunions telemàtiques jocs És la realitat de les mares en temps de confinament Una situació complicada que no els ha esborrat el somriure Hui les homenatgem en el Dia de la Mare I viuen en una autèntica muntanya russa democions TALL raquel hay días buenos y otros un poco duros I a pesar de tot tenen el superpoder de veure la part positiva TALL Isabel La clau TALL Bea se necesita mucha mucha paciencia Per això gràcies de tot cor TALL i hui més que mai TALL te queremos,SOCIETAT,SOCIETAT,
Les normes per a la desescalda generen molta incertesa en el sector cultural En la fase dos del pla anunciat per Pedro Sánchez ja estaran permesos els actes culturals sempre que laforament no supere un terç de la sala però encara és una incògnita com es faeran els assajos o les mesures que caldrà seguir dalt els escenaris TALL Daniela González Presidenta Federació de Societats Musicals Comunitat Valenciana Les respostes de moment hauran desperar TALL Raquel Tamarit Secretària autonòmica de Cultura Uns terminis que deixen els professionals amb poc de marge A més laforament limitat fa que per a les sales privades obrir no siga rentable TALL Alfred Pico En este context la programació en sales públiques serà clau TALL Raquel Tamarit Els espectacles i concerts de format reduït o a laire lliure són opcions que també baralla el sector,CULTURA | MEDICINA I SANITAT,CULTURA,MEDICINA I SANITAT
La Inspecció de Treball i els sindicats investiguen ja fraus en laplicació dels ERTO a les empreses valencianes Sobretot la dempelats i empelades que tot i estar acomiadats temporalment seguixen treballant des de casa i cobrant de lEstat Un frau que es castiga amb multes de fins a mil euros per treballador El teletreball seria una de les principals fonts de frau Seguixen treballant des de casa tot i estar acomiadats temporalment i per tant cobrant de lEstat és a dir de tots Són el casos més difícils dinvestigar per la Inspecció de Treball i afecten sobretot empreses menudes Tall Francisco Rogero Director territorial de la Inspecció de Treball i Seguretat Social somos concientes del nivel de fraude en el teletrabajo Y nos preocupa Para investigarlo habrá que requerir incluso la cooperación de las telefónicas Laltre frau investigat seria el dels anomenats treballadors paracaigudistes tall Rogero trabajadores que no formanan parte de la empresa cuando se tramita el ERTE y que reciben la prestación /RÈTOL/ Dos pràctiques que se sancionen amb multes de fins a mil euros per treballador el retorn dels diners cobrats il·legalment i en ocasions també amb penes de presó Aconseguir controlar ho queda en mans de només inspectors Sencarreguen de supervisar el mil ERTOS presentats a la Comunitat Són més de expedients per cap Els sindicats impulsen també la investigació dels casos i animen a denunciar tall Daniel Patiño hem de denunciar públicament al que comet la picaresca en este moment de crisi social on no es pot jugar amb els diners de tots Secretari Acció Sindical CCOO Perquè com recorden tot i ser fraus min INVESTIGUEN SI TREBALLADORS AFECTATS PER UN ERTO FAN TELETREBALL COBRANT DE LESTAT ESTOS FRAUS ESTAN SANCIONATS AMB MULTES DE FINS A EUROS I PENES DE PRESÓ,JUSTÍCIA I ORDRE  PÚBLIC | TREBALL,JUSTÍCIA I ORDRE  PÚBLIC,TREBALL
La crisi provocada pel coronavirus fa que cada vegada hi haja més persones vulnerables i en risc dexclusió social La majoria ha perdut el treball i amb ell els ingressos que tenien Les entitats benèfiques advertixen que les sol·licituds dajuda shan triplicat i que el pitjor està per arribar La pobresa és una corba que no ha deixat de créixer des que es va decretar lestat dalarma Moltes families han hagut de recorrer als serveis socials arran de la crisi sanitària Algunes delles per primera vegada La major part persones que han perdut el treball i no tenen els recursos per a satisfer les necessitats mes bàsiques com ara el menjar El Banc dAliments de València atén més de persones i la previsió és que la xifra es duplique Jaume Serra Banc dAliments ESTEM ATENENT CENTRES DE CARITAT PERSONES AL MES I LA XIFRA ES DUPLICARÀ SEGUR Empreses particulars i voluntaris fan la resta Ajuden de manera desinteressada a través dentitats com ara Càritas Esta organització rep només a València telefonades dajuda al dia En estos moments sols proporciona atenció primària Totes les entitats avisen que dací a unes setmanes vindrà la pitjor part Fani Raga Caritas València QUE PASSARÀ QUAN NO PUGUEN PAGAR EL LLOGER LA LLUM LAIGUA Les entitats socials oferixen a hores dara u www valencia acoge org www caritasvalencia org www bancodealimentosdevalencia org,SOCIETAT,SOCIETAT,
Més efectes col laterals del coronavirus El sector ramader de les ovelles està patint les conseqüències de laturada de leconomia els escorxadors estan parats el ramat s’acumula a les granges el preu per cada ovella està per terra i a més no hi ha esquiladors,"AGRICULTURA, RAMADERIA I PESCA | ECONOMIA, COMERÇ I FINANCES","AGRICULTURA, RAMADERIA I PESCA","ECONOMIA, COMERÇ I FINANCES"
Entre les i les les persones depenents han pogut eixir de nou el carrer Precisament hui se celebra el segon Dia Nacional de la Convenció dels Drets de les Persones amb Discapacitat una data per a posar de manifest els drets aconseguits per este col·lectiu Julia i Salvador són dos veïns del barri amb mobilitat reduïda Han passat una quarantena complicada TALL Julia Lara TALL Santiago Ara han començat a eixir a passejar TALL Julia Lara No obstant això denuncien que la gent no complix els horaris TALL Julia Lara També la falta de solidaritat TALL Santiago Tot i l’adaptació de la majoria de les voreres encara hi ha obstacles que els obliguen a fer un rodeig per anar a comprar TALL Julia Lara Tall Santiago Les associacions de persones amb discapacitat reivindiquen el compliment dels drets del col·lectiu Tall Lina Soler Responsable de Comunicació i Incidència Social en COCEMFE Comunitat Valenciana,SOCIETAT | URBANISME I HABITATGE,SOCIETAT,URBANISME I HABITATGE
El coronavirus ens deixa xifres esperançadores en este segon dia en què sha ampliant al conjunt de la població la possibilitat deixir a passejar o fer esport A la Comunitat Valencia hem superat ja les MIL altes el que suposa que el dels contagis shan curat Més encara els nous positIus són quasi la mitat que ahir i persones han perdut la vida en les últimes hores el que deixa un balanç de vícitmes de MIL,MEDICINA I SANITAT,MEDICINA I SANITAT,
Itàlia el primer país europeu que ha patit massivament els efectes del coronavirus entra demà en una nova fase de desconfinament Començaran a ser permeses les visites als familiars i caldrà vore si les noves mesures no aumenten els contagis Europa a poc a poc intenta reprendre el pols mentre que a altres zones del planeta es troben ara en plena lluita i en el moment més delicat,MEDICINA I SANITAT | POLÍTICA,MEDICINA I SANITAT,POLÍTICA
